Assets,Industry
NED.JO,Financial Services
FSR.JO,Financial Services
SBK.JO,Financial Services
ANH.JO,Beverages
SOL.JO,Chemicals
AFE.JO,Chemicals
AVI.JO,Food Producers
BVT.JO,Financial Services
MPT.JO,General Industrials
PMR.JO,Food Producers
RNI.JO,Electronic and Electrical Equipment
REM.JO,Investment Banking and Brokerage Services
NTC.JO,Health Care Providers
LHC.JO,Health Care Providers
GLN.JO,Industrial Metals and Mining
SHP.JO,Retailers
BID.JO,Retailers
KIO.JO,Industrial Metals and Mining
ARI.JO,Industrial Metals and Mining
BHG.JO,Industrial Metals and Mining
HDC.JO,Industrial Metals and Mining
MRP.JO,Retailers
TRU.JO,Retailers
NPN.JO,Software and Computer Services
NPH.JO,Precious Metals and Mining
CMH.JO,Retailers
PRX.JO,Software and Computer Services
BTI.JO,Tobacco
AIP.JO,Pharmaceuticals and Biotechnology
ITE.JO,Retailers
SUI.JO,Travel and Leisure
CFR.JO,Personal Goods
MTN.JO,Telecommunications Service Providers
TLT,Bonds
EMBMXXN.MX,Bonds
