Disabled,Type,Set,Position,Sign,Weight,Type Relative,Relative Set,Relative,Factor
False,Assets,,REN.JO,<=,0.02,,,,
False,Assets,,MTA.JO,<=,0.02,,,,
False,Assets,,ABG.JO,<=,0.02,,,,
False,Assets,,FSR.JO,<=,0.02,,,,
False,Assets,,INL.JO,<=,0.02,,,,
False,Assets,,NED.JO,<=,0.02,,,,
False,Assets,,OMN.JO,<=,0.02,,,,
False,Assets,,SOL.JO,<=,0.02,,,,
False,Assets,,AEG.JO,<=,0.02,,,,
False,Assets,,MUR.JO,<=,0.02,,,,
False,Assets,,PPC.JO,<=,0.02,,,,
False,Assets,,ARL.JO,<=,0.02,,,,
False,Assets,,MNP.JO,<=,0.02,,,,
False,Assets,,NPK.JO,<=,0.02,,,,
False,Assets,,LHC.JO,<=,0.02,,,,
False,Assets,,NTC.JO,<=,0.02,,,,
False,Assets,,SAP.JO,<=,0.02,,,,
False,Assets,,ARI.JO,<=,0.02,,,,
False,Assets,,KIO.JO,<=,0.02,,,,
False,Assets,,MRF.JO,<=,0.02,,,,
False,Assets,,SPG.JO,<=,0.02,,,,
False,Assets,,BAT.JO,<=,0.02,,,,
False,Assets,,CML.JO,<=,0.02,,,,
False,Assets,,DSY.JO,<=,0.02,,,,
False,Assets,,OMU.JO,<=,0.02,,,,
False,Assets,,EXX.JO,<=,0.02,,,,
False,Assets,,PIK.JO,<=,0.02,,,,
False,Assets,,SPP.JO,<=,0.02,,,,
False,Assets,,ASC.JO,<=,0.02,,,,
False,Assets,,APN.JO,<=,0.02,,,,
False,Assets,,AMS.JO,<=,0.02,,,,
False,Assets,,SSW.JO,<=,0.02,,,,
False,Assets,,ANG.JO,<=,0.02,,,,
False,Assets,,GFI.JO,<=,0.02,,,,
False,Assets,,IMP.JO,<=,0.02,,,,
False,Assets,,BWN.JO,<=,0.02,,,,
False,Assets,,GRT.JO,<=,0.02,,,,
False,Assets,,RDF.JO,<=,0.02,,,,
False,Assets,,MRP.JO,<=,0.02,,,,
False,Assets,,TFG.JO,<=,0.02,,,,
False,Assets,,TRU.JO,<=,0.02,,,,
False,Assets,,PPH.JO,<=,0.02,,,,
False,Assets,,NPN.JO,<=,0.02,,,,
False,Assets,,PRX.JO,<=,0.02,,,,
False,Assets,,EOH.JO,<=,0.02,,,,
False,Assets,,MTN.JO,<=,0.02,,,,
False,Assets,,TKG.JO,<=,0.02,,,,
False,Assets,,BTI.JO,<=,0.02,,,,
False,Assets,,CLH.JO,<=,0.02,,,,
False,Assets,,SUR.JO,<=,0.02,,,,
